user_id,movie_id,rating,title
2439493,46,5,Rudolph the Red-Nosed Reindeer
322009,26,4,Never Die Alone
1664010,145,4,Get Out Your Handkerchiefs
789014,46,4,Rudolph the Red-Nosed Reindeer
1461435,79,1,The Killing
525356,30,2,Something's Gotta Give
769702,49,1,Devo: The Complete Truth About De-evolution
1028463,52,1,The Weather Underground
2625420,83,4,Silkwood
1403217,157,2,Laird: White Knuckle Extreme
525356,33,2,Aqua Teen Hunger Force: Vol. 1
1227322,127,2,Fatal Beauty
1272379,29,1,Boycott
1876520,124,1,Cold Blooded
1673185,103,3,Sanford and Son: Season 6
1314869,148,4,Sweet November
507603,17,1,7 Seconds
1300759,36,3,Lady Chatterley
1299887,104,3,The Great Race
1932594,28,3,Lilo and Stitch
1298511,78,3,Jingle All the Way
952156,30,4,Something's Gotta Give
2040859,138,1,Star Trek: Voyager: Season 1
1227322,140,1,Lost in the Wild
2150746,109,1,No Way Back
1876520,109,1,No Way Back
1932594,38,1,Daydream Obsession
2439493,18,1,Immortal Beloved
2056022,96,3,Inside the Space Station
16272,31,3,Classic Albums: Meat Loaf: Bat Out of Hell
908205,173,5,The Devil's Brigade
530789,8,5,What the #$*! Do We Know!?
2143500,148,2,Sweet November
1612901,155,4,The Strongest Man in the World
1227322,17,1,7 Seconds
1771252,118,2,Rambo: First Blood Part II
2439493,100,1,Sam the Iron Bridge
2150746,32,4,ABC Primetime: Mel Gibson's The Passion of the Christ
2634967,6,2,Sick
447759,7,5,8 Man
2439493,82,1,The Frogmen
1935793,122,1,Cube 2: Hypercube
883478,167,3,The Chorus
387418,22,2,Chump Change
1932594,133,2,Viva La Bam: Season 1
319058,76,5,I Love Lucy: Season 2
530789,167,5,The Chorus
1139570,166,3,Fame
1932594,64,1,Outside the Law
1612901,118,2,Rambo: First Blood Part II
727242,128,1,Mr. Vampire
2238060,174,5,Adam-12: Season 1
1932594,24,2,My Bloody Valentine
1663888,8,3,What the #$*! Do We Know!?
1227322,44,2,Spitfire Grill
716173,166,5,Fame
1509395,45,4,The Love Letter
2552319,74,2,6ixtynin9
1461435,106,5,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985
2439493,33,1,Aqua Teen Hunger Force: Vol. 1
2439493,66,1,Barbarian Queen 2
387418,16,2,Screamers
387418,119,2,Travel the World by Train: Africa
2056022,68,3,Invader Zim
319058,73,2,Davy Crockett: 50th Anniversary Double Feature
752642,86,1,Iron Monkey 2
1977959,117,3,Silk Stockings
2238060,27,5,Sesame Street: Elmo's World: The Street We Live On
2237185,57,4,Richard III
491531,35,5,Ferngully 2: The Magical Rescue
1903324,117,1,Silk Stockings
595778,48,1,Justice League
1146000,16,1,Screamers
2297136,58,2,Dragonheart
3321,28,4,Lilo and Stitch
1515355,135,5,GTO: Great Teacher Onizuka: Set 2
1639792,115,1,Lord Peter Wimsey: Murder Must Advertise
722591,4,4,Paula Abdul's Get Up & Dance
305344,3,2,Character
2297136,27,1,Sesame Street: Elmo's World: The Street We Live On
507094,118,4,Rambo: First Blood Part II
2147527,154,2,Demon Warrior Koji
2606799,174,2,Adam-12: Season 1
1272379,31,1,Classic Albums: Meat Loaf: Bat Out of Hell
16272,138,4,Star Trek: Voyager: Season 1
908205,58,4,Dragonheart
789014,168,1,Smokey and the Bandit Part 3
2606799,150,4,Firetrap
1357209,143,3,The Game
2537543,108,1,Spartan
1314869,52,1,The Weather Underground
2118461,109,4,No Way Back
16272,3,4,Character
2606799,165,4,Richard Pryor: Live on the Sunset Strip
1664010,47,5,The Bad and the Beautiful
1650301,170,2,Tomorrow
305344,169,1,Cartoon Network Halloween: 9 Creepy Cartoon Capers
2143500,73,3,Davy Crockett: 50th Anniversary Double Feature
2606799,154,3,Demon Warrior Koji
1663888,80,4,Winter Kills
1792741,131,1,Arachnid
1977959,21,4,Strange Relations
2147527,174,2,Adam-12: Season 1
2457095,108,4,Spartan
2439493,51,4,Jonah: A VeggieTales Movie: Bonus Material
16272,83,3,Silkwood
636262,58,1,Dragonheart
1932594,134,3,Spirit Lost
147386,148,3,Sweet November
1461435,36,5,Lady Chatterley
2584676,84,1,The Powerpuff Girls Movie
1001129,90,2,The Lemon Drop Kid
507603,152,1,A Little Princess
2248080,173,3,The Devil's Brigade
2083367,132,3,Lucio Fulci: The Beyond
2118461,13,5,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material
1612901,32,3,ABC Primetime: Mel Gibson's The Passion of the Christ
2150746,5,4,The Rise and Fall of ECW
743633,143,4,The Game
319058,143,1,The Game
1114324,111,4,Duplex (Widescreen)
1664010,101,5,Complete Shamanic Princess
2625420,118,3,Rambo: First Blood Part II
303948,117,4,Silk Stockings
2056022,40,4,Pitcher and the Pin-Up
322009,89,3,Chain of Command
1935793,125,4,Nighthawks
752642,83,3,Silkwood
1673185,125,3,Nighthawks
507603,110,1,Scandal
1061195,118,2,Rambo: First Blood Part II
682963,1,3,Dinosaur Planet
752642,156,4,Husbands and Wives
873713,6,1,Sick
16272,55,3,Jade
147386,155,2,The Strongest Man in the World
491531,113,4,Bruce Lee: A Warrior's Journey
303948,79,3,The Killing
16272,18,4,Immortal Beloved
2439493,160,1,Gormenghast
2439493,45,1,The Love Letter
1139570,148,3,Sweet November
57633,38,3,Daydream Obsession
1037245,109,3,No Way Back
1673185,28,3,Lilo and Stitch
2143500,117,3,Silk Stockings
1612901,30,3,Something's Gotta Give
752642,19,2,By Dawn's Early Light
1902838,29,3,Boycott
952156,104,4,The Great Race
530789,83,5,Silkwood
1556831,156,2,Husbands and Wives
1792741,58,2,Dragonheart
1935793,118,3,Rambo: First Blood Part II
1061195,76,5,I Love Lucy: Season 2
1792741,170,3,Tomorrow
1139570,104,4,The Great Race
1166912,143,3,The Game
1664010,9,3,Class of Nuke 'Em High 2
952156,3,5,Character
2634967,169,1,Cartoon Network Halloween: 9 Creepy Cartoon Capers
1784150,143,3,The Game
2248080,129,3,Darkwolf
1852040,6,1,Sick
1903324,97,1,Mostly Martha
1114324,66,3,Barbarian Queen 2
1650301,148,2,Sweet November
647979,118,2,Rambo: First Blood Part II
1146000,161,4,Ninotchka
507603,29,1,Boycott
1977959,160,3,Gormenghast
2147527,160,2,Gormenghast
1977959,146,3,Cannibal Women in the Avocado Jungle of Death
1932594,128,1,Mr. Vampire
2457095,157,1,Laird: White Knuckle Extreme
2143500,171,4,Funny Face
1515355,84,4,The Powerpuff Girls Movie
769702,47,5,The Bad and the Beautiful
1664010,37,5,Zatoichi's Conspiracy
1403217,32,3,ABC Primetime: Mel Gibson's The Passion of the Christ
1028463,163,1,MTV: Making the Band 2: Best of Season 1
722591,84,3,The Powerpuff Girls Movie
2119007,128,1,Mr. Vampire
2291306,49,5,Devo: The Complete Truth About De-evolution
504620,102,1,Notre Musique
2118461,17,3,7 Seconds
503235,175,4,Reservoir Dogs
1556831,143,2,The Game
1461435,66,1,Barbarian Queen 2
2056022,69,3,WWE: Armageddon 2003
530789,1,5,Dinosaur Planet
1932594,124,4,Cold Blooded
2634967,143,4,The Game
1612901,79,5,The Killing
491531,12,3,My Favorite Brunette
1403217,151,1,Sleepover Nightmare
507094,143,1,The Game
1403217,23,2,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo
504620,73,3,Davy Crockett: 50th Anniversary Double Feature
305344,74,1,6ixtynin9
305344,62,2,Ken Burns' America: Empire of the Air
2056022,108,4,Spartan
1033930,125,3,Nighthawks
1639792,35,1,Ferngully 2: The Magical Rescue
2439493,15,1,Neil Diamond: Greatest Hits Live
503235,77,3,Congo
57633,143,3,The Game
2602249,44,3,Spitfire Grill
1902838,104,2,The Great Race
387418,1,1,Dinosaur Planet
1639792,107,2,Magnolia: Bonus Material
1664010,16,5,Screamers
682963,108,3,Spartan
1806515,108,3,Spartan
883478,44,3,Spitfire Grill
1470123,165,4,Richard Pryor: Live on the Sunset Strip
1473980,30,5,Something's Gotta Give
322009,1,3,Dinosaur Planet
507094,166,3,Fame
862596,143,3,The Game
2238060,109,2,No Way Back
1902838,127,1,Fatal Beauty
1784150,37,4,Zatoichi's Conspiracy
2256485,131,3,Arachnid
71594,77,3,Congo
1227322,58,1,Dragonheart
2606799,149,2,The Edward R. Murrow Collection
1792741,118,1,Rambo: First Blood Part II
71594,99,2,A Fishy Story
1932594,112,1,The Eye of Vichy
2439493,44,3,Spitfire Grill
57633,47,5,The Bad and the Beautiful
1515355,138,5,Star Trek: Voyager: Season 1
743633,17,5,7 Seconds
2083367,48,4,Justice League
1314869,162,3,John Cleese on How to Irritate People
908205,26,3,Never Die Alone
2118461,57,4,Richard III
1515355,174,4,Adam-12: Season 1
1639792,30,3,Something's Gotta Give
2256485,111,2,Duplex (Widescreen)
2625420,135,2,GTO: Great Teacher Onizuka: Set 2
1403217,161,2,Ninotchka
386947,90,2,The Lemon Drop Kid
2457095,19,3,By Dawn's Early Light
1852040,54,1,We're Not Married
2083367,16,4,Screamers
1664010,14,3,Nature: Antarctica
798296,160,1,Gormenghast
1806515,127,3,Fatal Beauty
2056022,52,2,The Weather Underground
1935793,6,1,Sick
1852040,57,1,Richard III
716173,142,3,The Tricky Master
769702,138,5,Star Trek: Voyager: Season 1
789014,112,1,The Eye of Vichy
1819462,133,1,Viva La Bam: Season 1
1852040,150,2,Firetrap
402266,83,4,Silkwood
1977959,111,2,Duplex (Widescreen)
16272,171,3,Funny Face
1001129,155,3,The Strongest Man in the World
1563935,126,1,Vampire Effect (aka Twins Effect)
798296,35,2,Ferngully 2: The Magical Rescue
1105029,53,2,The Bonesetter
386947,111,3,Duplex (Widescreen)
1299887,110,4,Scandal
2238060,138,5,Star Trek: Voyager: Season 1
2083367,72,3,Unknown
1037245,116,5,Bear Cub
2625420,50,2,A Yank in the R.A.F.
1114324,105,1,Obsessed
